username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
|2017-03-21 22:30|8|4|"#Diapo : découvrez le top 10 des voitures les plus ... moches ! http:// bit.ly/2n42U8f http:// fb.me/2T2Et6Xza"|||#Diapo|"844300109923958784"|https://twitter.com/turbofr/status/844300109923958784
|2017-03-21 20:02|5|4|"#Actu : PSA dévoile la consommation en usage réel de 1000 versions Peugeot, Citroën et DS http:// bit.ly/2nGg4Lu http:// fb.me/SosUiyAV"|||#Actu|"844262856728219653"|https://twitter.com/turbofr/status/844262856728219653
|2017-03-21 17:58|7|12|"#Diapo : découvrez la version très agressive de la Honda Civic Type R ! http:// bit.ly/2n4fXXc http:// fb.me/90g6PaENV"|||#Diapo|"844231650586365952"|https://twitter.com/turbofr/status/844231650586365952
|2017-03-21 17:58|1|1|"Salon de Genève : toujours de folles préparations - Emission TURBO du 19/03/2017 http:// bit.ly/2na0czI"||||"844231642952687621"|https://twitter.com/turbofr/status/844231642952687621
|2017-03-21 17:02|3|8|"Honda Civic Type R : quelques photos de la version européenne, tout de blanc vêtue http:// bit.ly/2n9XWZ8"||||"844217548249927681"|https://twitter.com/turbofr/status/844217548249927681
|2017-03-21 16:10|4|7|"Carburants : la baisse des prix continue en ce début d'année 2017 http:// bit.ly/2mQzGZA"||||"844204466584915969"|https://twitter.com/turbofr/status/844204466584915969
|2017-03-21 16:04|8|5|"#Diapo : Il faudra attendre fin 2017 pour pouvoir profiter de cette voiture 100% électrique : l'Opel Ampera-e !... http:// fb.me/8PF6G2VHy"|||#Diapo|"844202957973405698"|https://twitter.com/turbofr/status/844202957973405698
|2017-03-21 14:56|3|1|"PSA dévoile la consommation en usage réel de 1000 versions Peugeot, Citroën et DS http:// bit.ly/2n9qnqe"||||"844185839483699200"|https://twitter.com/turbofr/status/844185839483699200
|2017-03-21 14:50|1|0|"#Exclu : Le premier radar piéton testé près de Lyon ! http:// bit.ly/2nw6FG7 http:// fb.me/6mYDd30vd"|||#Exclu|"844184343849324544"|https://twitter.com/turbofr/status/844184343849324544
|2017-03-21 13:35|2|0|"#Vidéo : record du tour effectué par la NIO EP9, un supercar 100 % électrique, sur le mythique circuit du... http:// fb.me/3XTAb8INS"|||#Vidéo|"844165468445466624"|https://twitter.com/turbofr/status/844165468445466624
|2017-03-21 12:14|2|5|"Ampera-e : Opel promet une autonomie de 520 km pour cette voiture électrique http:// bit.ly/2n96yzi"||||"844145073289859072"|https://twitter.com/turbofr/status/844145073289859072
|2017-03-21 12:11|1|2|"La Nissan Leaf Black Edition : Nissan s'allie à Orange http:// bit.ly/2nvvK3Q http:// fb.me/179973Fw6"||||"844144335767650304"|https://twitter.com/turbofr/status/844144335767650304
|2017-03-21 10:45|3|0|"#Turbo #Vidéo : Retour sur l'actu de la semaine avec l'affaire Renault, le Salon de Genève, la découverte du... http:// fb.me/5JwHoVUt8"|||#Turbo #Vidéo|"844122697399459841"|https://twitter.com/turbofr/status/844122697399459841
|2017-03-21 10:10|3|0|"Nissan LEAF : de la 4G à bord en partenariat avec Orange http:// bit.ly/2n8OR2E"||||"844113873510813696"|https://twitter.com/turbofr/status/844113873510813696
|2017-03-21 09:23|7|8|"#Diapo : Découvrez ces moteurs mythiques qui ont marqué l'histoire http:// bit.ly/2kEsotR http:// fb.me/1wSHUsnu0"|||#Diapo|"844102047880429570"|https://twitter.com/turbofr/status/844102047880429570
|2017-03-21 09:08|2|0|"Retour sur l'actualité automobile de la semaine - Emission TURBO du 05/03/2017 http:// bit.ly/2mPpW1x"||||"844098262302973952"|https://twitter.com/turbofr/status/844098262302973952
|2017-03-20 23:24|2|10|"#Diapo : Découvrez ou redécouvrez la rétrospective des véhicules rapides d'intervention utilisés par la... http:// fb.me/8S5jzkKFH"|||#Diapo|"843951303382523904"|https://twitter.com/turbofr/status/843951303382523904
|2017-03-20 22:02|2|0|"Nissan : une première édition limitée avec Bose pour la nouvelle Micra http:// bit.ly/2nDlxms http:// fb.me/84w1BIh2O"||||"843930673895395332"|https://twitter.com/turbofr/status/843930673895395332
|2017-03-20 19:42|1|0|"#Sondage : Dieselgate, ces différentes affaires vous incitent-elles à ne plus acheter de voiture diesel ?... http:// fb.me/23k3z0Yox"|||#Sondage|"843895435278409730"|https://twitter.com/turbofr/status/843895435278409730
|2017-03-20 18:40|1|2|"NIO EP9 : record du tour en caméra embarquée sur le Nürburgring http:// bit.ly/2nePxUM"||||"843879828487049218"|https://twitter.com/turbofr/status/843879828487049218
|2017-03-20 17:40|2|4|"#Vidéo : Land Rover Discovery : L'ouest américain pour ce nouveau baroudeur http:// fb.me/N3Muat0T"|||#Vidéo|"843864740988436480"|https://twitter.com/turbofr/status/843864740988436480
|2017-03-20 17:10|5|3|"Dieselgate : finalement, Opel n'est pas inquiété http:// bit.ly/2mMOJ6q"||||"843857176259182593"|https://twitter.com/turbofr/status/843857176259182593
|2017-03-20 15:36|2|5|"#Diapo : Découvrez la nouvelle Opel Insignia Grand Sport http:// bit.ly/2nVgCcJ http:// fb.me/1bE31BA71"|||#Diapo|"843833531759583232"|https://twitter.com/turbofr/status/843833531759583232
|2017-03-20 15:02|2|0|"Nissan : un première édition limitée avec Bose pour la nouvelle Micra http:// bit.ly/2ndXgSS"||||"843824960854528000"|https://twitter.com/turbofr/status/843824960854528000
|2017-03-20 13:48|1|1|"Renault : Un surcroît de puissance pour le SUV familial http:// bit.ly/2mZOW75 http:// fb.me/6pEa6Ocfu"||||"843806353244246016"|https://twitter.com/turbofr/status/843806353244246016
|2017-03-20 12:33|1|2|"Une Fiat 500 High-Tech http:// fb.me/5D2su3scp"||||"843787481556402176"|https://twitter.com/turbofr/status/843787481556402176
|2017-03-20 12:00|2|5|"Open Insignia Grand Sport : quelques photos de cette seconde génération http:// bit.ly/2mLMd0k"||||"843779163102306304"|https://twitter.com/turbofr/status/843779163102306304
|2017-03-20 11:58|1|2|"Open Insignia Grand Sport : quelques photos de cette seconde génération http:// bit.ly/2mLJl3f"||||"843778674365255686"|https://twitter.com/turbofr/status/843778674365255686
|2017-03-20 11:08|1|2|"La McLaren 570GT se dévoile sur les routes du Nevada http:// fb.me/4GXFPqgHH"||||"843766085157621761"|https://twitter.com/turbofr/status/843766085157621761
|2017-03-20 10:14|4|3|"Renault : un nouveau moteur essence de 165 ch pour le Renault Kadjar http:// bit.ly/2ncYZYC"||||"843752485202419713"|https://twitter.com/turbofr/status/843752485202419713
|2017-03-20 09:24|1|0|"Quand une Subaru se prend pour un bobsleigh http:// fb.me/5ZUk8DOBW"||||"843740117424586752"|https://twitter.com/turbofr/status/843740117424586752
|2017-03-20 09:22|6|3|"Fiat 500 : une série spéciale encore plus connectée http:// bit.ly/2ncYNZC"||||"843739404757848064"|https://twitter.com/turbofr/status/843739404757848064
|2017-03-19 20:11|3|8|"#BestOfGenève : retour sur la McLaren 720S http:// fb.me/5h2SjEwql"|||#BestOfGenève|"843540352158130179"|https://twitter.com/turbofr/status/843540352158130179
|2017-03-19 18:04|4|15|"#BestOfGenève : Retour sur la Ferrari 812 Superfast http:// fb.me/8wZEqjJRZ"|||#BestOfGenève|"843508388197818368"|https://twitter.com/turbofr/status/843508388197818368
|2017-03-19 16:02|1|3|"Jeep Compass, retrouvez les photos de l'essai. Et l'essai http:// bit.ly/2mibr63 http:// fb.me/OBPKYRx8"||||"843477690250346498"|https://twitter.com/turbofr/status/843477690250346498
|2017-03-19 15:14|1|2|"McLaren 570GT : petite balade en vidéo sur les routes de la Vallée de Feu http:// bit.ly/2nFIYZ8"||||"843465597476376576"|https://twitter.com/turbofr/status/843465597476376576
|2017-03-19 14:04|2|5|"#BestOfGenève : Le Volvo XC60, petit frère du XC90, présenté en images et en vidéo http:// fb.me/2KqOwkiuw"|||#BestOfGenève|"843447987955257344"|https://twitter.com/turbofr/status/843447987955257344
|2017-03-19 11:34|2|0|"Dieselgate : ces affaires vous incitent-elles à ne plus acheter de voiture diesel ? http:// bit.ly/2nnEJEk"||||"843410230172139526"|https://twitter.com/turbofr/status/843410230172139526
|2017-03-19 11:20|2|3|"Turbo commence maintenant ! Nous vous invitons, comme chaque dimanche, à nous laisser votre avis sur l'émission... http:// fb.me/4yt1LJOOR"||||"843406710203211776"|https://twitter.com/turbofr/status/843406710203211776
|2017-03-19 10:00|1|6|"Volkswagen nous présente la Golf R Performance en vidéo http:// fb.me/5GTs6wo5P"||||"843386582094790658"|https://twitter.com/turbofr/status/843386582094790658
|2017-03-18 20:02|6|9|"Genève : le Tata Tamo Racemo en photos http:// fb.me/3NTvxWnMx"||||"843175702912548864"|https://twitter.com/turbofr/status/843175702912548864
|2017-03-18 18:01|6|9|"#BestOfGenève : les informations à connaitre sur l'Alpine A110 http:// fb.me/8gHaoOdDD"|||#BestOfGenève|"843145242752831488"|https://twitter.com/turbofr/status/843145242752831488
|2017-03-18 16:02|3|0|"Des feux rouges pour réguler le trafic autoroutier ? http:// fb.me/8AKj6pFL4"||||"843115304565784576"|https://twitter.com/turbofr/status/843115304565784576
|2017-03-18 12:02|7|6|"#BestOfGenève : la Porsche Panamera Sport Tourismo en photos http:// fb.me/6vV3sCZMN"|||#BestOfGenève|"843054904197464064"|https://twitter.com/turbofr/status/843054904197464064
|2017-03-18 11:51|2|1|"Le rallye du Mexique s'est déroulé le Week-end dernier, revivez les meilleurs moments en vidéo http:// fb.me/1RvoBAJCC"||||"843052128285474816"|https://twitter.com/turbofr/status/843052128285474816
|2017-03-18 09:45|5|9|"Retrouvez les photos de notre essai du Tesla Model X http:// fb.me/6tfwtebcu"||||"843020417396887552"|https://twitter.com/turbofr/status/843020417396887552
|2017-03-18 09:20|2|2|"Vidéo : Un Subaru WRX STi en action sur une piste de bobsleigh http:// bit.ly/2njEAkZ"||||"843014122241495040"|https://twitter.com/turbofr/status/843014122241495040
|2017-03-18 09:00|2|1|"La côte auto gratuite et pratique http:// ift.tt/11KDOOd"||||"843009147490779136"|https://twitter.com/turbofr/status/843009147490779136
|2017-03-17 19:28|5|3|"Skoda Kodiaq : il est disponible, tous les tarfis des différentes versions http:// bit.ly/2ni3t0K"||||"842804741583360000"|https://twitter.com/turbofr/status/842804741583360000
|2017-03-17 18:45|6|10|"Genève : retrouvez toutes les nouveautés en images http:// fb.me/1WfDwEE1N"||||"842793926167875587"|https://twitter.com/turbofr/status/842793926167875587
|2017-03-17 18:15|2|0|"Louer sa voiture entre particulier, c'est possible. Combien pourriez-vous gagner ? http:// fb.me/1TOKnDXZw"||||"842786377947406336"|https://twitter.com/turbofr/status/842786377947406336
|2017-03-17 17:14|1|1|"Honda Civic (2017) : les tarifs des différentes versions dévoilées http:// bit.ly/2nzUtkK"||||"842771017848274948"|https://twitter.com/turbofr/status/842771017848274948
|2017-03-17 16:10|3|2|"Project Hero : un Land Rover Discovery créé pour aider à sauver des vies http:// bit.ly/2nzvdLz"||||"842754913608355844"|https://twitter.com/turbofr/status/842754913608355844
|2017-03-17 15:08|4|1|"Mclaren F1 : Andrew Bagnall possède l'une des plus rares, découvrez-là en vidéo http:// bit.ly/2nzmHw9"||||"842739310080266240"|https://twitter.com/turbofr/status/842739310080266240
|2017-03-17 13:36|3|2|"#Turbo #Sommaire : pour la 1ere fois, Dominique Chapatte vous emmène au Sima, le salon mondial des fournisseurs... http:// fb.me/5S5rNioIm"|||#Turbo #Sommaire|"842716158746943489"|https://twitter.com/turbofr/status/842716158746943489
|2017-03-17 13:06|0|1|"Salon du Sima, Land Rover Discovery, Mazda MX-5 RF - Emission TURBO du 16/03/2017 http:// bit.ly/2nh1tWp"||||"842708610010505217"|https://twitter.com/turbofr/status/842708610010505217
|2017-03-17 12:06|1|4|"Lotus Elise : quelques photos pour la Sprint qui passe en dessous des 800 kg http:// bit.ly/2ngSuEz"||||"842693506174992384"|https://twitter.com/turbofr/status/842693506174992384
